gene name,description,gene id,protein id,number of domains,domains[count],paralogous family ID,members of paralogous family ,representative family member,"paralog [ % identity representative member:paralog , % identity paralog: representative member]",consensus RNA target,putative RNA target,supporting evidence (# pubmed ID),category in Baltz et al.,category in Castello et al.,found in both human mass spec,human cell lines mass spec,category in Kwon et al. mouse mESC,Toronto RBPDB,GO RNA related category,GO RNA related category description,GO general category,GO general category description,OMIM
RPS19,ribosomal protein S19 [Source:HGNC Symbol;Acc:10402],ENSG00000105372,ENSP00000470972,1,Ribosomal_S19e[1],family-818,RPS19,.,.,ribosome,ribosome,established RBP ,ribosomal,.,.,1,1,.,"GO:0003735,GO:0005840,GO:0006412,GO:0022627,GO:0000028,GO:0016070,GO:0016071,GO:0006364,GO:0006414,GO:0006413,GO:0000184,GO:0006415,GO:0042274,GO:0000462,GO:0030490","structural constituent of ribosome,ribosome,translation,cytosolic small ribosomal subunit,ribosomal small subunit assembly,RNA metabolic process,mRNA metabolic process,rRNA processing,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,ribosomal small subunit biogenesis,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),maturation of SSU-rRNA","GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0005515,GO:0042803,GO:0019901,GO:0017134,GO:0005737,GO:0005829,GO:0005730,GO:0022627,GO:0051272,GO:0000028,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006364,GO:0030218,GO:0051262,GO:0007000,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0002548,GO:0000184,GO:0060266,GO:0006415,GO:0019083,GO:0042274,GO:0060265,GO:0000462,GO:0009991,GO:0030490","structural constituent of ribosome,intracellular,ribosome,translation,protein binding,protein homodimerization activity,protein kinase binding,fibroblast growth factor binding,cytoplasm,cytosol,nucleolus,cytosolic small ribosomal subunit,positive regulation of cellular component movement,ribosomal small subunit assembly,viral process,gene expression,RNA metabolic process,mRNA metabolic process,rRNA processing,erythrocyte differentiation,protein tetramerization,nucleolus organization,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,monocyte chemotaxis,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,negative regulation of respiratory burst involved in inflammatory response,translational termination,viral transcription,ribosomal small subunit biogenesis,positive regulation of respiratory burst involved in inflammatory response,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),response to extracellular stimulus,maturation of SSU-rRNA", DIAMOND-BLACKFAN ANEMIA 1; DBA1
RPS19BP1,ribosomal protein S19 binding protein 1 [Source:HGNC Symbol;Acc:28749],ENSG00000187051,ENSP00000333948,.,.,family-265,RPS19BP1,.,.,unknown,RNA related,16289379,candidate mRNA binder,novel,1,1,1,.,.,.,"GO:0005515,GO:0005730,GO:0005654,GO:0005737","protein binding,nucleolus,nucleoplasm,cytoplasm",.
RPS2,ribosomal protein S2 [Source:HGNC Symbol;Acc:10404],ENSG00000140988,ENSP00000433034,2,"Ribosomal_S5[1],Ribosomal_S5_C[1]",family-294,RPS2,.,.,ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,.,"GO:0003735,GO:0005840,GO:0006412,GO:0003723,GO:0015935,GO:0003729,GO:0022627,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","structural constituent of ribosome,ribosome,translation,RNA binding,small ribosomal subunit,mRNA binding,cytosolic small ribosomal subunit,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003735,GO:0005840,GO:0006412,GO:0003723,GO:0015935,GO:0005515,GO:0019899,GO:0003729,GO:0017134,GO:0005829,GO:0022627,GO:0005654,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0051347,GO:0006415,GO:0019083","structural constituent of ribosome,ribosome,translation,RNA binding,small ribosomal subunit,protein binding,enzyme binding,mRNA binding,fibroblast growth factor binding,cytosol,cytosolic small ribosomal subunit,nucleoplasm,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,positive regulation of transferase activity,translational termination,viral transcription",.
RPS20,ribosomal protein S20 [Source:HGNC Symbol;Acc:10405],ENSG00000008988,ENSP00000427860,1,Ribosomal_S10[1],family-643,RPS20,.,.,ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,.,"GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935,GO:0022627,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","RNA binding,structural constituent of ribosome,ribosome,translation,small ribosomal subunit,cytosolic small ribosomal subunit,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935,GO:0005515,GO:0005737,GO:0005829,GO:0022627,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","RNA binding,structural constituent of ribosome,ribosome,translation,small ribosomal subunit,protein binding,cytoplasm,cytosol,cytosolic small ribosomal subunit,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS21,ribosomal protein S21 [Source:HGNC Symbol;Acc:10409],ENSG00000171858,ENSP00000388332,1,Ribosomal_S21e[1],family-271,RPS21,.,.,ribosome,ribosome,established RBP ,.,RNArelated,.,1,.,.,"GO:0003735,GO:0005840,GO:0006412,GO:0022627,GO:0015935,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0000447,GO:0006415,GO:0042274,GO:0000461","structural constituent of ribosome,ribosome,translation,cytosolic small ribosomal subunit,small ribosomal subunit,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translational termination,ribosomal small subunit biogenesis,endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0003735,GO:0005737,GO:0005622,GO:0005840,GO:0006412,GO:0047485,GO:0005829,GO:0022627,GO:0015935,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0000447,GO:0006415,GO:0019083,GO:0042274,GO:0000461","structural constituent of ribosome,cytoplasm,intracellular,ribosome,translation,protein N-terminus binding,cytosol,cytosolic small ribosomal subunit,small ribosomal subunit,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translational termination,viral transcription,ribosomal small subunit biogenesis,endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",.
RPS23,ribosomal protein S23 [Source:HGNC Symbol;Acc:10410],ENSG00000186468,ENSP00000296674,1,Ribosom_S12_S23[1],family-88,RPS23,.,.,ribosome,ribosome,established RBP ,ribosomal,.,.,1,1,.,"GO:0003735,GO:0005840,GO:0006412,GO:0015935,GO:0022627,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","structural constituent of ribosome,ribosome,translation,small ribosomal subunit,cytosolic small ribosomal subunit,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935,GO:0005515,GO:0005829,GO:0022627,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","structural constituent of ribosome,intracellular,ribosome,translation,small ribosomal subunit,protein binding,cytosol,cytosolic small ribosomal subunit,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS24,ribosomal protein S24 [Source:HGNC Symbol;Acc:10411],ENSG00000138326,ENSP00000415549,1,Ribosomal_S24e[1],family-482,RPS24,.,.,ribosome,ribosome,established RBP ,ribosomal,RNArelated,1,1,1,.,"GO:0003735,GO:0005840,GO:0006412,GO:0031369,GO:0022627,GO:0015935,GO:0016070,GO:0016071,GO:0006364,GO:0006414,GO:0006413,GO:0000184,GO:0006415,GO:0042274,GO:0000462","structural constituent of ribosome,ribosome,translation,translation initiation factor binding,cytosolic small ribosomal subunit,small ribosomal subunit,RNA metabolic process,mRNA metabolic process,rRNA processing,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,ribosomal small subunit biogenesis,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0000166,GO:0003735,GO:0005634,GO:0005737,GO:0005622,GO:0005840,GO:0006412,GO:0031369,GO:0005829,GO:0005730,GO:0022627,GO:0015935,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006364,GO:0044267,GO:0006614,GO:0006414,GO:0034101,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0042274,GO:0000462","nucleotide binding,structural constituent of ribosome,nucleus,cytoplasm,intracellular,ribosome,translation,translation initiation factor binding,cytosol,nucleolus,cytosolic small ribosomal subunit,small ribosomal subunit,viral process,gene expression,RNA metabolic process,mRNA metabolic process,rRNA processing,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,erythrocyte homeostasis,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,ribosomal small subunit biogenesis,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)", DIAMOND-BLACKFAN ANEMIA 3; DBA3
RPS25,ribosomal protein S25 [Source:HGNC Symbol;Acc:10413],ENSG00000118181,ENSP00000435096,1,Ribosomal_S25[1],family-991,RPS25,.,.,ribosome,ribosome,established RBP ,ribosomal,.,.,1,.,.,"GO:0003723,GO:0003735,GO:0022627,GO:0005840,GO:0015935,GO:0000028,GO:0006412,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","RNA binding,structural constituent of ribosome,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,ribosomal small subunit assembly,translation,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003723,GO:0003735,GO:0005737,GO:0005829,GO:0005730,GO:0022627,GO:0005840,GO:0015935,GO:0000028,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","RNA binding,structural constituent of ribosome,cytoplasm,cytosol,nucleolus,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,ribosomal small subunit assembly,translation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS26,ribosomal protein S26 [Source:HGNC Symbol;Acc:10414],ENSG00000197728,ENSP00000348849,1,Ribosomal_S26e[1],family-365,RPS26,.,.,ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,.,"GO:0003735,GO:0003729,GO:0022627,GO:0005840,GO:0015935,GO:0006412,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0033119,GO:0006415","structural constituent of ribosome,mRNA binding,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,translation,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,negative regulation of RNA splicing,translational termination","GO:0005515,GO:0003735,GO:0003729,GO:0005829,GO:0005622,GO:0022627,GO:0005840,GO:0015935,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0033119,GO:0006415,GO:0019083","protein binding,structural constituent of ribosome,mRNA binding,cytosol,intracellular,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,translation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,negative regulation of RNA splicing,translational termination,viral transcription", DIAMOND-BLACKFAN ANEMIA 10; DBA10
RPS27,ribosomal protein S27 [Source:HGNC Symbol;Acc:10416],ENSG00000177954,ENSP00000357555,1,Ribosomal_S27e[1],family-281,"RPS27,RPS27L",RPS27,"RPS27L[96,96]",ribosome,ribosome,established RBP ,ribosomal,.,.,1,.,.,"GO:0003735,GO:0005840,GO:0006412,GO:0022627,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","structural constituent of ribosome,ribosome,translation,cytosolic small ribosomal subunit,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003735,GO:0005840,GO:0006412,GO:0005515,GO:0008270,GO:0046872,GO:0003677,GO:0005634,GO:0005829,GO:0005622,GO:0022627,GO:0008283,GO:0000278,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","structural constituent of ribosome,ribosome,translation,protein binding,zinc ion binding,metal ion binding,DNA binding,nucleus,cytosol,intracellular,cytosolic small ribosomal subunit,cell proliferation,mitotic cell cycle,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS27A,ribosomal protein S27a [Source:HGNC Symbol;Acc:10417],ENSG00000143947,ENSP00000272317,2,"Ribosomal_S27[1],ubiquitin[1]",family-207,RPS27A,.,.,ribosome,ribosome,established RBP ,ribosomal,RNArelated,1,1,.,.,"GO:0003735,GO:0022627,GO:0005840,GO:0015935,GO:0006412,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","structural constituent of ribosome,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,translation,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0005515,GO:0046872,GO:0003735,GO:0005886,GO:0005829,GO:0005622,GO:0022627,GO:0005840,GO:0010008,GO:0005654,GO:0015935,GO:0030666,GO:0000122,GO:0006351,GO:0045944,GO:0038095,GO:0045087,GO:0055085,GO:0006915,GO:0042981,GO:0043066,GO:0034220,GO:0043123,GO:0000209,GO:0006412,GO:0002474,GO:0000278,GO:0006281,GO:0016032,GO:0016197,GO:0019068,GO:0019082,GO:0002479,GO:0006977,GO:0010467,GO:0016070,GO:0016071,GO:0031145,GO:0042590,GO:0051437,GO:0051439,GO:0008585,GO:0000187,GO:0043065,GO:0032480,GO:0006367,GO:0007219,GO:0007254,GO:0019221,GO:0007179,GO:0030512,GO:0007141,GO:0071456,GO:0002224,GO:0072520,GO:0008543,GO:0051092,GO:0050852,GO:0044267,GO:0007173,GO:0032481,GO:0007249,GO:0000082,GO:0097190,GO:0002755,GO:0002756,GO:0034138,GO:0006614,GO:0034166,GO:0007220,GO:0051403,GO:0007144,GO:0010992,GO:0021888,GO:0060613,GO:0097009,GO:0042059,GO:0006414,GO:0034142,GO:0034162,GO:0048011,GO:0019058,GO:0034134,GO:0035666,GO:0038123,GO:0038124,GO:0051436,GO:0006413,GO:0034146,GO:0035872,GO:0061418,GO:0070423,GO:0000184,GO:0006415,GO:0019083,GO:0032479","protein binding,metal ion binding,structural constituent of ribosome,plasma membrane,cytosol,intracellular,cytosolic small ribosomal subunit,ribosome,endosome membrane,nucleoplasm,small ribosomal subunit,endocytic vesicle membrane,negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,Fc-epsilon receptor signaling pathway,innate immune response,transmembrane transport,apoptotic process,regulation of apoptotic process,negative regulation of apoptotic process,ion transmembrane transport,positive regulation of I-kappaB kinase/NF-kappaB signaling,protein polyubiquitination,translation,antigen processing and presentation of peptide antigen via MHC class I,mitotic cell cycle,DNA repair,viral process,endosomal transport,virion assembly,viral protein processing,antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,gene expression,RNA metabolic process,mRNA metabolic process,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process,antigen processing and presentation of exogenous peptide antigen via MHC class I,positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,female gonad development,activation of MAPK activity,positive regulation of apoptotic process,negative regulation of type I interferon production,transcription initiation from RNA polymerase II promoter,Notch signaling pathway,JNK cascade,cytokine-mediated signaling pathway,transforming growth factor beta receptor signaling pathway,negative regulation of transforming growth factor beta receptor signaling pathway,male meiosis I,cellular response to hypoxia,toll-like receptor signaling pathway,seminiferous tubule development,fibroblast growth factor receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,T cell receptor signaling pathway,cellular protein metabolic process,epidermal growth factor receptor signaling pathway,positive regulation of type I interferon production,I-kappaB kinase/NF-kappaB signaling,G1/S transition of mitotic cell cycle,apoptotic signaling pathway,MyD88-dependent toll-like receptor signaling pathway,MyD88-independent toll-like receptor signaling pathway,toll-like receptor 3 signaling pathway,SRP-dependent cotranslational protein targeting to membrane,toll-like receptor 10 signaling pathway,Notch receptor processing,stress-activated MAPK cascade,female meiosis I,ubiquitin homeostasis,hypothalamus gonadotrophin-releasing hormone neuron development,fat pad development,energy homeostasis,negative regulation of epidermal growth factor receptor signaling pathway,translational elongation,toll-like receptor 4 signaling pathway,toll-like receptor 9 signaling pathway,neurotrophin TRK receptor signaling pathway,viral life cycle,toll-like receptor 2 signaling pathway,TRIF-dependent toll-like receptor signaling pathway,toll-like receptor TLR1:TLR2 signaling pathway,toll-like receptor TLR6:TLR2 signaling pathway,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,translational initiation,toll-like receptor 5 signaling pathway,nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway,regulation of transcription from RNA polymerase II promoter in response to hypoxia,nucleotide-binding oligomerization domain containing signaling pathway,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,regulation of type I interferon production",.
RPS27L,ribosomal protein S27-like [Source:HGNC Symbol;Acc:18476],ENSG00000185088,ENSP00000412026,1,Ribosomal_S27e[1],family-281,"RPS27,RPS27L",RPS27,"RPS27L[96,96]",ribosome,ribosome,established RBP ,ribosomal,.,.,1,1,.,"GO:0003735,GO:0005840,GO:0006412,GO:0022627,GO:0008494,GO:0045727","structural constituent of ribosome,ribosome,translation,cytosolic small ribosomal subunit,translation activator activity,positive regulation of translation","GO:0046872,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0022627,GO:0005515,GO:0008656,GO:0008494,GO:0005634,GO:0006974,GO:0006281,GO:0045727,GO:0031571,GO:0042771,GO:0006919","metal ion binding,structural constituent of ribosome,intracellular,ribosome,translation,cytosolic small ribosomal subunit,protein binding,cysteine-type endopeptidase activator activity involved in apoptotic process,translation activator activity,nucleus,cellular response to DNA damage stimulus,DNA repair,positive regulation of translation,mitotic G1 DNA damage checkpoint,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,activation of cysteine-type endopeptidase activity involved in apoptotic process",.
RPS28,ribosomal protein S28 [Source:HGNC Symbol;Acc:10418],ENSG00000233927,ENSP00000472469,1,Ribosomal_S28e[1],family-146,RPS28,.,.,ribosome,ribosome,established RBP ,ribosomal,RNArelated,1,1,.,.,"GO:0003735,GO:0022627,GO:0005840,GO:0015935,GO:0006412,GO:0016070,GO:0016071,GO:0006364,GO:0006414,GO:0006413,GO:0000184,GO:0006415,GO:0042274","structural constituent of ribosome,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,translation,RNA metabolic process,mRNA metabolic process,rRNA processing,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,ribosomal small subunit biogenesis","GO:0003735,GO:0022627,GO:0005829,GO:0005622,GO:0005840,GO:0015935,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0006364,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0042274","structural constituent of ribosome,cytosolic small ribosomal subunit,cytosol,intracellular,ribosome,small ribosomal subunit,translation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,rRNA processing,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,ribosomal small subunit biogenesis",.
RPS29,ribosomal protein S29 [Source:HGNC Symbol;Acc:10419],ENSG00000213741,ENSP00000245458,1,Ribosomal_S14[1],family-378,RPS29,.,.,ribosome,ribosome,established RBP ,.,.,.,.,.,.,"GO:0003735,GO:0022627,GO:0005840,GO:0015935,GO:0006412,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","structural constituent of ribosome,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,translation,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0008270,GO:0003735,GO:0005737,GO:0005829,GO:0005622,GO:0022627,GO:0005840,GO:0015935,GO:0006412,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083","zinc ion binding,structural constituent of ribosome,cytoplasm,cytosol,intracellular,cytosolic small ribosomal subunit,ribosome,small ribosomal subunit,translation,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription",.
RPS3,ribosomal protein S3 [Source:HGNC Symbol;Acc:10420],ENSG00000149273,ENSP00000433421,2,"KH_2[1],Ribosomal_S3_C[1]",family-206,RPS3,.,.,ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,1,"GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0003729,GO:0022627,GO:0030529,GO:0015935,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","RNA binding,structural constituent of ribosome,ribosome,translation,mRNA binding,cytosolic small ribosomal subunit,ribonucleoprotein complex,small ribosomal subunit,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0005515,GO:0004519,GO:0019899,GO:0019901,GO:0003729,GO:0003684,GO:0051536,GO:0051018,GO:0051059,GO:0003906,GO:0005634,GO:0005737,GO:0005829,GO:0022627,GO:0030529,GO:0032587,GO:0015935,GO:0006974,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0032088,GO:0044267,GO:0006614,GO:0006919,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0045738,GO:1900119,GO:1902546","RNA binding,structural constituent of ribosome,ribosome,translation,protein binding,endonuclease activity,enzyme binding,protein kinase binding,mRNA binding,damaged DNA binding,iron-sulfur cluster binding,protein kinase A binding,NF-kappaB binding,DNA-(apurinic or apyrimidinic site) lyase activity,nucleus,cytoplasm,cytosol,cytosolic small ribosomal subunit,ribonucleoprotein complex,ruffle membrane,small ribosomal subunit,cellular response to DNA damage stimulus,viral process,gene expression,RNA metabolic process,mRNA metabolic process,negative regulation of NF-kappaB transcription factor activity,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,activation of cysteine-type endopeptidase activity involved in apoptotic process,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,negative regulation of DNA repair,positive regulation of execution phase of apoptosis,positive regulation of DNA N-glycosylase activity",.
RPS3A,ribosomal protein S3A [Source:HGNC Symbol;Acc:10421],ENSG00000145425,ENSP00000426466,1,Ribosomal_S3Ae[1],family-709,RPS3A,.,.,ribosome,ribosome,established RBP ,ribosomal,RNAbinding,1,1,1,.,"GO:0003735,GO:0022627,GO:0005840,GO:0006412,GO:0003723,GO:0030529,GO:0016070,GO:0016071,GO:0006414,GO:0006413,GO:0000184,GO:0006415","structural constituent of ribosome,cytosolic small ribosomal subunit,ribosome,translation,RNA binding,ribonucleoprotein complex,RNA metabolic process,mRNA metabolic process,translational elongation,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination","GO:0003735,GO:0005634,GO:0005622,GO:0022627,GO:0005840,GO:0030154,GO:0006412,GO:0003723,GO:0005515,GO:0005737,GO:0005829,GO:0005730,GO:0030529,GO:0043066,GO:0016032,GO:0010467,GO:0016070,GO:0016071,GO:0044267,GO:0006614,GO:0006414,GO:0019058,GO:0006413,GO:0000184,GO:0006415,GO:0019083,GO:0002181","structural constituent of ribosome,nucleus,intracellular,cytosolic small ribosomal subunit,ribosome,cell differentiation,translation,RNA binding,protein binding,cytoplasm,cytosol,nucleolus,ribonucleoprotein complex,negative regulation of apoptotic process,viral process,gene expression,RNA metabolic process,mRNA metabolic process,cellular protein metabolic process,SRP-dependent cotranslational protein targeting to membrane,translational elongation,viral life cycle,translational initiation,nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,translational termination,viral transcription,cytoplasmic translation",.
